,year,solver,track,instances,cpu-time,memory,totargs,totedges,density,totlayers,totsccs,totntsccs,avgntsize,maxsccsize
2483,2019,taas-dredd,DC-PR,2019/instances/B-2-afinput_exp_acyclic_indvary2_step2_batch_yyy10.tgf,0.533,2883584.0,848,698383,0.971185,3,13,1,836.0,836
2484,2019,yonas,DC-PR,2019/instances/B-2-afinput_exp_acyclic_indvary2_step2_batch_yyy10.tgf,13.241,2883584.0,848,698383,0.971185,3,13,1,836.0,836
2485,2019,aspartix19,DS-PR,2019/instances/B-2-afinput_exp_acyclic_indvary2_step2_batch_yyy10.tgf,18.807,2912256.0,848,698383,0.971185,3,13,1,836.0,836
2486,2019,coquiaas,DS-PR,2019/instances/B-2-afinput_exp_acyclic_indvary2_step2_batch_yyy10.tgf,5.214,2883584.0,848,698383,0.971185,3,13,1,836.0,836
2487,2019,eqargsolver,DS-PR,2019/instances/B-2-afinput_exp_acyclic_indvary2_step2_batch_yyy10.tgf,0.728,2875392.0,848,698383,0.971185,3,13,1,836.0,836
2488,2019,mu-toksia,DS-PR,2019/instances/B-2-afinput_exp_acyclic_indvary2_step2_batch_yyy10.tgf,0.79,2895872.0,848,698383,0.971185,3,13,1,836.0,836
2489,2019,pyglaf,DS-PR,2019/instances/B-2-afinput_exp_acyclic_indvary2_step2_batch_yyy10.tgf,13.398,2879488.0,848,698383,0.971185,3,13,1,836.0,836
2490,2019,taas-dredd,DS-PR,2019/instances/B-2-afinput_exp_acyclic_indvary2_step2_batch_yyy10.tgf,0.52,2895872.0,848,698383,0.971185,3,13,1,836.0,836
2491,2019,yonas,DS-PR,2019/instances/B-2-afinput_exp_acyclic_indvary2_step2_batch_yyy10.tgf,13.279,2875392.0,848,698383,0.971185,3,13,1,836.0,836
2492,2019,aspartix19,SE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,10.373,2912256.0,834,672442,0.966769,3,12,1,823.0,823
2493,2019,coquiaas,SE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,4.611,2887680.0,834,672442,0.966769,3,12,1,823.0,823
2494,2019,eqargsolver,SE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,0.777,2883584.0,834,672442,0.966769,3,12,1,823.0,823
2495,2019,mu-toksia,SE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,0.718,2883584.0,834,672442,0.966769,3,12,1,823.0,823
2496,2019,pyglaf,SE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,10.316,2891776.0,834,672442,0.966769,3,12,1,823.0,823
2497,2019,taas-dredd,SE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,659.142,101269504.0,834,672442,0.966769,3,12,1,823.0,823
2498,2019,yonas,SE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,566.505,14553186304.0,834,672442,0.966769,3,12,1,823.0,823
2499,2019,aspartix19,EE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,11.07,2912256.0,834,672442,0.966769,3,12,1,823.0,823
2500,2019,coquiaas,EE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,4.956,2879488.0,834,672442,0.966769,3,12,1,823.0,823
2501,2019,eqargsolver,EE-PR,2019/instances/B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,0.792,2883584.0,834,672442,0.966769,3,12,1,823.0,823
