year,solver,instances,track,cpu-time,memory,status,score
2019,aspartix19,Small-result-b16.tgf,SE-PR,0.363,2912256,COMPLETED,1
2019,aspartix19,Small-result-b17.tgf,SE-PR,0.366,2899968,COMPLETED,1
2019,aspartix19,Small-result-b18.tgf,SE-PR,0.367,2908160,COMPLETED,1
2019,aspartix19,Small-result-b19.tgf,SE-PR,0.376,2908160,COMPLETED,1
2019,aspartix19,Small-result-b2.tgf,SE-PR,0.374,2912256,COMPLETED,1
2019,aspartix19,Small-result-b20.tgf,SE-PR,0.361,2912256,COMPLETED,1
2019,aspartix19,Small-result-b21.tgf,SE-PR,0.366,2904064,COMPLETED,1
2019,aspartix19,Small-result-b22.tgf,SE-PR,0.367,2908160,COMPLETED,1
2019,aspartix19,Small-result-b23.tgf,SE-PR,0.367,2904064,COMPLETED,1
2019,aspartix19,Small-result-b24.tgf,SE-PR,0.393,2908160,COMPLETED,1
2019,aspartix19,Small-result-b25.tgf,SE-PR,0.389,2908160,COMPLETED,1
2019,aspartix19,Small-result-b26.tgf,SE-PR,0.504,2904064,COMPLETED,1
2019,aspartix19,Small-result-b27.tgf,SE-PR,0.473,2904064,COMPLETED,1
2019,aspartix19,Small-result-b28.tgf,SE-PR,0.818,2912256,COMPLETED,1
2019,aspartix19,Small-result-b29.tgf,SE-PR,0.368,2899968,COMPLETED,1
2019,aspartix19,Small-result-b3.tgf,SE-PR,0.365,2912256,COMPLETED,1
2019,aspartix19,Small-result-b30.tgf,SE-PR,0.386,2908160,COMPLETED,1
2019,aspartix19,Small-result-b31.tgf,SE-PR,0.372,2908160,COMPLETED,1
2019,aspartix19,Small-result-b33.tgf,SE-PR,0.367,2912256,COMPLETED,1
2019,aspartix19,Small-result-b34.tgf,SE-PR,0.368,2904064,COMPLETED,1
2019,aspartix19,Small-result-b35.tgf,SE-PR,0.361,2912256,COMPLETED,1
2019,aspartix19,Small-result-b36.tgf,SE-PR,0.38,2916352,COMPLETED,1
2019,aspartix19,Small-result-b37.tgf,SE-PR,0.371,2908160,COMPLETED,1
2019,aspartix19,Small-result-b38.tgf,SE-PR,0.385,2899968,COMPLETED,1
2019,aspartix19,Small-result-b39.tgf,SE-PR,0.376,2912256,COMPLETED,1
2019,aspartix19,Small-result-b4.tgf,SE-PR,0.385,2908160,COMPLETED,1
2019,aspartix19,Small-result-b40.tgf,SE-PR,0.372,2908160,COMPLETED,1
2019,aspartix19,Small-result-b41.tgf,SE-PR,0.368,2899968,COMPLETED,1
2019,aspartix19,Small-result-b42.tgf,SE-PR,0.366,2912256,COMPLETED,1
2019,aspartix19,Small-result-b43.tgf,SE-PR,0.394,2912256,COMPLETED,1
2019,aspartix19,Small-result-b44.tgf,SE-PR,0.372,2916352,COMPLETED,1
2019,aspartix19,Small-result-b45.tgf,SE-PR,0.374,2912256,COMPLETED,1
2019,aspartix19,Small-result-b46.tgf,SE-PR,0.373,2912256,COMPLETED,1
2019,aspartix19,Small-result-b47.tgf,SE-PR,0.372,2908160,COMPLETED,1
2019,aspartix19,Small-result-b48.tgf,SE-PR,0.37,2908160,COMPLETED,1
2019,aspartix19,Small-result-b49.tgf,SE-PR,0.373,2912256,COMPLETED,1
2019,aspartix19,Small-result-b5.tgf,SE-PR,0.375,2912256,COMPLETED,1
2019,aspartix19,Small-result-b50.tgf,SE-PR,0.384,2904064,COMPLETED,1
2019,aspartix19,Small-result-b51.tgf,SE-PR,0.371,2912256,COMPLETED,1
