year,solver,instances,track,cpu-time,memory,status,score
2019,aspartix19,B-3-stb_457_193.tgf,SE-CO,0.409,2908160,COMPLETED,1
2019,aspartix19,B-3-stb_522_11.tgf,SE-CO,0.411,2899968,COMPLETED,1
2019,aspartix19,B-3-stb_590_330.tgf,SE-CO,0.426,2904064,COMPLETED,1
2019,aspartix19,B-3-stb_696_368.tgf,SE-CO,0.395,2908160,COMPLETED,1
2019,aspartix19,B-3-stb_696_412.tgf,SE-CO,0.435,2908160,COMPLETED,1
2019,aspartix19,B-3-stb_763_492.tgf,SE-CO,0.397,2908160,COMPLETED,1
2019,aspartix19,B-3-stb_767_429.tgf,SE-CO,0.394,2908160,COMPLETED,1
2019,aspartix19,B-3-WS_300_16_70_30.tgf,SE-CO,0.382,2912256,COMPLETED,1
2019,aspartix19,B-3-WS_300_16_90_30.tgf,SE-CO,0.383,2904064,COMPLETED,1
2019,aspartix19,B-4-stb_547_485.tgf,SE-CO,0.423,2908160,COMPLETED,1
2019,aspartix19,C-1-admbuster_1000.tgf,SE-CO,0.386,2912256,COMPLETED,1
2019,aspartix19,C-1-admbuster_10000.tgf,SE-CO,0.61,3072000,COMPLETED,1
2019,aspartix19,C-1-admbuster_6000.tgf,SE-CO,0.595,2912256,COMPLETED,1
2019,aspartix19,C-1-admbuster_8000.tgf,SE-CO,0.555,2912256,COMPLETED,1
2019,aspartix19,C-1-afinput_exp_acyclic_indvary1_step1_batch_yyy08.tgf,SE-CO,0.442,2908160,COMPLETED,1
2019,aspartix19,C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf,SE-CO,0.371,2908160,COMPLETED,1
2019,aspartix19,C-1-afinput_exp_cycles_indvary1_step6_batch_yyy02.tgf,SE-CO,0.371,2912256,COMPLETED,1
2019,aspartix19,C-1-BA_120_20_5.tgf,SE-CO,0.429,2912256,COMPLETED,1
2019,aspartix19,C-1-BA_60_60_2.tgf,SE-CO,0.362,2904064,COMPLETED,1
2019,aspartix19,C-1-BA_80_20_4.tgf,SE-CO,0.372,2904064,COMPLETED,1
2019,aspartix19,C-1-bluestar-or-us.gml.20.tgf,SE-CO,0.367,2908160,COMPLETED,1
2019,aspartix19,C-1-calaveras-transit_20151216_1707.gml.50.tgf,SE-CO,0.356,2912256,COMPLETED,1
2019,aspartix19,C-1-ER_100_100_3.tgf,SE-CO,0.403,2912256,COMPLETED,1
2019,aspartix19,C-1-grd_1222_5_4.tgf,SE-CO,0.852,2908160,COMPLETED,1
2019,aspartix19,C-1-grd_3018_3_7.tgf,SE-CO,1.72,2912256,COMPLETED,1
2019,aspartix19,C-1-grd_489_5_8.tgf,SE-CO,0.452,2899968,COMPLETED,1
2019,aspartix19,C-1-grd_5178_1_1.tgf,SE-CO,1.785,2912256,COMPLETED,1
2019,aspartix19,C-1-grd_8034_1_2.tgf,SE-CO,4.005,2908160,COMPLETED,1
2019,aspartix19,C-1-stb_234_487.tgf,SE-CO,0.386,2904064,COMPLETED,1
2019,aspartix19,C-1-stb_373_251.tgf,SE-CO,0.375,2904064,COMPLETED,1
2019,aspartix19,C-1-stb_463_93.tgf,SE-CO,0.383,2912256,COMPLETED,1
2019,aspartix19,C-1-WS_200_28_70_10.tgf,SE-CO,0.383,2908160,COMPLETED,1
2019,aspartix19,C-2-afinput_exp_acyclic_depvary_step6_batch_yyy05.tgf,SE-CO,3.906,2908160,COMPLETED,1
2019,aspartix19,C-2-afinput_exp_acyclic_indvary1_step2_batch_yyy07.tgf,SE-CO,12.352,2912256,COMPLETED,1
2019,aspartix19,C-2-afinput_exp_cycles_depvary_step3_batch_yyy08.tgf,SE-CO,4.299,2904064,COMPLETED,1
2019,aspartix19,C-2-afinput_exp_cycles_depvary_step4_batch_yyy05.tgf,SE-CO,4.641,2899968,COMPLETED,1
2019,aspartix19,C-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,SE-CO,7.505,2904064,COMPLETED,1
2019,aspartix19,C-2-stb_304_352.tgf,SE-CO,0.38,2908160,COMPLETED,1
2019,aspartix19,C-3-afinput_exp_acyclic_depvary_step7_batch_yyy08.tgf,SE-CO,10.224,2912256,COMPLETED,1
2019,aspartix19,Medium-result-b1.tgf,SE-CO,1.024,2908160,COMPLETED,1
2019,aspartix19,Medium-result-b16.tgf,SE-CO,0.911,2912256,COMPLETED,1
